method,found_in
ValueRoundingUtility.roundDecimalValue,ManageExemptionReOpenExemptionPE.updateApeAmountExempt
ValueRoundingUtility.roundDecimalValue,ManageExemptionReOpenExemptionPE.processWorkingRoll
ValueRoundingUtility.roundDecimalValue,ManageExemptionReOpenExemptionPE.handleUpdatePEOCOR
ValueRoundingUtility.roundDecimalValue,ManageExemptionReOpenExemptionPE.handleCreateOrUpdatePeocorWorkingroll
ValueRoundingUtility.roundDecimalValue,ManageExemptionReOpenExemptionPE.updateAssessedValuesForExemptions
ValueRoundingUtility.roundDecimalValue,RPCaseUtility.getTotalValueOnWorkingCase
ValueRoundingUtility.roundDecimalValue,RPCaseUtility.getTotalBasisValueOnCase
ValueRoundingUtility.roundDecimalValue,RPCaseUtility.getTotalValueOnExistingCase
ValueRoundingUtility.roundDecimalValue,RPCaseUtility.setBasisValue
ValueRoundingUtility.roundDecimalValue,RegressionValuationBatchHelper.createValuationMethod
ValueRoundingUtility.roundDecimalValue,RegressionValuationControllerHelper.updateValuations
ValueRoundingUtility.roundDecimalValue,GenerateCPIFactorValueSupplementals.execute
ValueRoundingUtility.roundDecimalValue,BatchToPopulateCaseWithTempValues.execute
ValueRoundingUtility.roundDecimalValue,BatchToPopulateCaseWithTempValues.populateTempValues
ValueRoundingUtility.roundDecimalValue,AdjustAssessmentController.cloningOfAssessmentAndLineItems
ValueRoundingUtility.roundDecimalValue,ApplyExemptionsPropertyToAssesments.saveRPExemptionsData
ValueRoundingUtility.roundDecimalValue,ApplyExemptionsPropertyToAssesments.processRPClonedData
ValueRoundingUtility.roundDecimalValue,AssessmentAdjustmentsApproval.regularAssessmentAdjustment
ValueRoundingUtility.roundDecimalValue,AssessmentAdjustmentsApproval.escapeAdjustment
ValueRoundingUtility.roundDecimalValue,AssessmentAdjustmentsApproval.cancelAdjustments
ValueRoundingUtility.roundDecimalValue,AssessmentAdjustmentsApproval.createClonedAssessmentAndLineItems
ValueRoundingUtility.roundDecimalValue,AssessmentAdjustmentsApproval.createClonedEscapeRollCorrectionAssessmentsAndLineItems
ValueRoundingUtility.roundDecimalValue,AssessmentAdjustmentsApproval.createEscapeCancelAssessment
ValueRoundingUtility.roundDecimalValue,AssessmentsUtility.regularAssessmentAdjustment
ValueRoundingUtility.roundDecimalValue,AssessmentsUtility.escapeAdjustment
ValueRoundingUtility.roundDecimalValue,AssessmentsUtility.cancelAdjustments
ValueRoundingUtility.roundDecimalValue,AssessmentsUtility.retrieveRPCloneAssessmentsForAdjustments
ValueRoundingUtility.roundDecimalValue,AssessmentsUtility.linkBppAndRp
ValueRoundingUtility.roundDecimalValue,AssessmentsUtility.createAssessmentForRP
ValueRoundingUtility.roundDecimalValue,AssessmentsUtility.calculateTotalAdjustmentValue
ValueRoundingUtility.roundDecimalValue,AssessmentsUtility.adjustLegacyCasesWithExemption
ValueRoundingUtility.roundDecimalValue,AssessmentsUtility.populateAPERecordsForAssessment
ValueRoundingUtility.roundDecimalValue,AssessmentsUtility.calculateAmountExemptOnInstitutionalCase
ValueRoundingUtility.roundDecimalValue,AssessmentsUtility.createPEOCORForRegularAssessment
ValueRoundingUtility.roundDecimalValue,AssessmentsUtility.genarateAPEForDiscontiuniedExemptions
ValueRoundingUtility.roundDecimalValue,AssessmentsUtility.calculateRpAmountExempt
ValueRoundingUtility.roundDecimalValue,AssessmentsUtility.updatePEOCORAndAPEForCases
ValueRoundingUtility.roundDecimalValue,CaseHandler.applyFraudRelatedPenalty
ValueRoundingUtility.roundDecimalValue,CaseHandler.applyLastYearAssessedValue
ValueRoundingUtility.roundDecimalValue,CaseHandler.setPenaltyForVesselAssessments
ValueRoundingUtility.roundDecimalValue,CaseHandler.setVesselValuationFactor
ValueRoundingUtility.roundDecimalValue,CaseHandler.isPenaltyOverride
ValueRoundingUtility.roundDecimalValue,CaseHandler.processExemptionReviewAssessments
ValueRoundingUtility.roundDecimalValue,CaseHandler.snapshotOnAnnualOrAdjustedAssessment
ValueRoundingUtility.roundDecimalValue,CaseHandler.updateRpAssessmentWhenUnapprovedAndJunctionExists
ValueRoundingUtility.roundDecimalValue,CloseoutEmailTemplateController.getdata
ValueRoundingUtility.roundDecimalValue,LowValueAssessorBatch.execute
ValueRoundingUtility.roundDecimalValue,EscapeAssessmenGenerationProcess.getEscapesForGeneration
ValueRoundingUtility.roundDecimalValue,EscapeAssessmenGenerationProcess.returnGrosslyUnderReportedCases
ValueRoundingUtility.roundDoubleValue,ProcessParcelManagementController.createUpdateChildParcelOwnership
ValueRoundingUtility.roundDoubleValue,AssessmentAdjustmentsApproval.validateCancelAssessment
ValueRoundingUtility.scaleDecimalValue,ManagePEExemptionsController.generateRelatedCOR
CommunitiesLoginController.forwardToAuthPage,CommunitiesLoginController.forwardToAuthPage
RPPropertyValueHandlerUtility.fetchPropertyValuesForLegacyCIP,fairMarketValueController.loadDataForFMV
AssessedValueCalculator.calculateValuesBasedOnPattern,AssessedValueCalculatorNoPriorEvent.calculateValuesBasedOnPattern
AssessedValueCalculator.calculateValuesBasedOnPattern,AssessedValueCalculatorWithPriorEvent.calculateValuesBasedOnPattern
AssessedValueCalculator.identifyApplicableBaseYearValues,AssessedValueCalculator.calculateValuesBasedOnPattern
AssessedValueCalculator.seggregateValuesInDifferentBuckets,AssessedValueCalculator.identifyApplicableBaseYearValues
CSVValidator.validateCSV,MassUploadPropertyCharacteristics.readCSVFile
CSVValidator.validateCSV,MassUploadSitusAddressesController.convertUploadToPropertyRecords
CSVValidator.validateCSV,MassUploadValueAllocations_Updated.readCSVFile
AuditWaiverExpirationAlertBatch.handleErrors,BatchApexErrorEvents.handle
AdditionalAssessmentDetails.populateOtherAssessmentDetails,AdditionalAsmtDetailsWithPriorEvent.populateOtherAssessmentDetails
AdditionalAssessmentDetails.populateOtherAssessmentDetails,AdditionalAssessmentDetailsNoPriorEvent.populateOtherAssessmentDetails
PMGTCaseHandler.validateNotesBeforeClose,CaseHandler.executeBeforeUpdate
AssessmentEngine.manageAssessment,ValuationAssessmentProcessor.processAssessments
AssessmentEngine.manageAssessment,PropertyEventAssessmentProcessor.processAssessments
AssessmentEngine.identifyEligibilityForSynchronusProcessing,AssessmentEngine.manageAssessment
AssessmentEngine.processTransactionSynchronously,AssessmentEngine.manageAssessment
OnbaseBatchUtilDAO.processDetailsForRequest,OnbaseNoticeNewConstructionLeinDate.finish
OnbaseBatchUtilDAO.processDetailsForRequest,OnbaseNoticeExemptionBatch.finish
OnbaseBatchUtilDAO.processDetailsForRequest,OnbaseNAVLetterBatch.finish
OnbaseBatchUtilDAO.processDetailsForRequest,OnbaseNAVLetterIRBatch.finish
OnbaseBatchUtilDAO.processDetailsForRequest,OnbaseNAVLetterNRBatch.finish
OnbaseBatchUtilDAO.processDetailsForRequest,OnbaseNAVLetterTICBatch.finish
OnbaseBatchUtilDAO.processDetailsForRequest,OnbaseNoticeLeinDateNCResBatch.finish
OnbaseBatchUtilDAO.processDetailsForRequest,OnbaseNoticeLienDateNCNonResBatch.finish
OnbaseBatchUtilDAO.processDetailsForRequest,OnbaseNoticeLienDateNCResBatch.finish
OnbaseBatchUtilDAO.processDetailsForRequest,OnbaseNotice441DLetter.send441DLetterForProcessing
OnbaseBatchUtilDAO.processDetailsForRequest,OnbasePropertyCalamityDisasterReliefCtrl.sendCalamityDisasterLetterProcessing
OnbaseBatchUtil.processDetailsForRequest,OnbaseNoticeNewConstructionLeinDate.finish
OnbaseBatchUtil.processDetailsForRequest,OnbaseNoticeExemptionBatch.finish
OnbaseBatchUtil.processDetailsForRequest,OnbaseNAVLetterBatch.finish
OnbaseBatchUtil.processDetailsForRequest,OnbaseNAVLetterIRBatch.finish
OnbaseBatchUtil.processDetailsForRequest,OnbaseNAVLetterNRBatch.finish
OnbaseBatchUtil.processDetailsForRequest,OnbaseNAVLetterTICBatch.finish
OnbaseBatchUtil.processDetailsForRequest,OnbaseNoticeLeinDateNCResBatch.finish
OnbaseBatchUtil.processDetailsForRequest,OnbaseNoticeLienDateNCNonResBatch.finish
OnbaseBatchUtil.processDetailsForRequest,OnbaseNoticeLienDateNCResBatch.finish
OnbaseBatchUtil.processDetailsForRequest,OnbaseNotice441DLetter.send441DLetterForProcessing
OnbaseBatchUtil.processDetailsForRequest,OnbasePropertyCalamityDisasterReliefCtrl.sendCalamityDisasterLetterProcessing
OnbaseBatchUtil.makeCallout,AnnualRPRollBatchSync.execute
OnbaseBatchUtil.makeCallout,OnBaseNoticeQueueable.execute
OnbaseBatchUtil.makeCallout,OnbaseNoticeBulkProcessQueueable.execute
OnbaseBatchUtil.createRequest,OnbaseNoticeController.sendNotice
OnbaseBatchUtil.createRequest,OnbaseNoticeBulkProcessQueueable.execute
OnbaseBatchUtil.createChildNoticeTrackers,OnbaseNoticeBulkProcessQueueable.execute
OnbaseBatchUtil.createParentNoticetracker,OnbaseNoticeBulkProcessQueueable.execute
OnbaseBatchUtil.formatRowData,OnbaseNoticeNewConstructionLeinDate.execute
OnbaseBatchUtil.formatRowData,OnbaseNoticeExemptionBatch.execute
OnbaseBatchUtil.formatRowData,OnbaseNAVLetterBatch.execute
OnbaseBatchUtil.formatRowData,OnbaseNAVLetterIRBatch.constructFileRows
OnbaseBatchUtil.formatRowData,OnbaseNAVLetterNRBatch.constructFileRows
OnbaseBatchUtil.formatRowData,OnbaseNAVLetterTICBatch.execute
OnbaseBatchUtil.formatRowData,OnbaseNoticeLeinDateNCResBatch.execute
OnbaseBatchUtil.formatRowData,OnbaseNoticeLienDateNCHelper.processValuationsForNotices
OnbaseBatchUtil.formatRowData,OnbaseNotice441DLetter.processTemplateWrapper
OnbaseBatchUtil.formatRowData,OnbasePropertyCalamityDisasterReliefCtrl.processTemplateWrapper
OnbaseBatchUtil.generateHeaderRow,OnbaseNotice441DLetter.fetchTemplateValues
OnbaseBatchUtil.generateHeaderRow,OnbasePropertyCalamityDisasterReliefCtrl.fetchTemplateValues
OnbaseBatchUtil.getAPIName,OnbaseNoticeController.getCreator
UpdateRPAssesmentRoleCodeChangeBatch.createCancelAssessments,fairMarketValueController.createCaseRelatedRecs
UpdateRPAssesmentRoleCodeChangeBatch.createCancelAssessments,fairMarketValueController.createAssessmentPenalties
UpdateRPAssesmentRoleCodeChangeBatch.createCancelAssessments,submitTransactionController.createCancelAndReissueAssessment
UpdateRPAssesmentRoleCodeChangeBatch.createCancelAssessments,submitTransactionController.cancelAndReissuePenaltyAssessment
UpdateRPAssesmentRoleCodeChangeBatch.createCancelAssessments,cancelValuationNCController.cancelValuation
UpdateRPAssesmentRoleCodeChangeBatch.createCancelAssessments,cancelValuationNCController.cancelPILeasingValuation
UpdateRPAssesmentRoleCodeChangeBatch.createCancelAssessments,ApplyPenaltyControllerAction.removePenalty
AssessmentSnapshot.populateValuesOnAssessment,PIAssessmentSnapshot.populateValuesOnAssessment
AssessmentSnapshot.populateValuesOnAssessment,RPAssessmentSnapshot.populateValuesOnAssessment
AssessmentSnapshot.populateAccountOnAssessment,PICaseHandler.snapshotOfPropertyAndAccountOnAssessment
AABEmailUtility.fetchMetaDataForAABEmail,SendEmailToAABAppealPE.sendEmailForCancellingPHC
AABEmailUtility.fetchMetaDataForAABEmail,SendPostponementRequestToAABController.sendEmailToAAB
AABEmailUtility.sendAABEmail,BatchToSendPHCRequestToAAB.finish
AABEmailUtility.sendAABEmail,SendEmailToAABAppealPE.sendEmail
AABEmailUtility.sendAABEmail,SendPostponementRequestToAABController.sendEmailToAAB
AdditionalAssessmentDetailsNoPriorEvent.populateOtherAssessmentDetails,AdditionalAsmtDetailsWithPriorEvent.populateOtherAssessmentDetails
AdditionalAssessmentDetailsNoPriorEvent.populateOtherAssessmentDetails,AdditionalAssessmentDetailsNoPriorEvent.populateOtherAssessmentDetails
CaseOwnershipRelation.getFactoredBaseYearValueLand,AssessmentDetails.setAssessedValuesOnAssessment
CaseOwnershipRelation.getFactoredBaseYearValueImprovements,AssessmentDetails.setAssessedValuesOnAssessment
CaseOwnershipRelation.getFactoredBaseYearValue,AssessmentDetails.setAssessedValuesOnAssessment
CaseOwnershipRelation.getTemporaryValueLand,AssessmentDetails.setAssessedValuesOnAssessment
CaseOwnershipRelation.getTotalTemporaryValue,AssessmentDetails.setAssessedValuesOnAssessment
CaseOwnershipRelation.getCaseOwnershipRelationRecords,AssessmentDetails.setCORAndAssessedValue
CaseOwnershipRelation.calculateAssessedValues,AssessmentDetails.setCORAndAssessedValue
CaseOwnershipRelation.calculateAssessedValues,AssessedValueCalculator.calculateValuesBasedOnPattern
CaseOwnershipRelation.populateGeneralValuesForCOR,CaseOwnershipRelation.calculateAssessedValues
CaseOwnershipRelation.initializeValues,CaseOwnershipRelation.populateGeneralValuesForCOR
CaseOwnershipRelation.manageBVYAdditivePattern,CaseOwnershipRelation.calculateAssessedValues
CaseOwnershipRelation.manageTempReplacePattern,CaseOwnershipRelation.calculateAssessedValues
CaseOwnershipRelation.manageTempAdditivePattern,CaseOwnershipRelation.calculateAssessedValues
CaseOwnershipRelation.setTempValues,CaseOwnershipRelation.manageTempReplacePattern
CaseOwnershipRelation.setTempValues,CaseOwnershipRelation.manageTempAdditivePattern
CaseOwnershipRelation.setBaseYearValues,OwnerShipBaseYearHandler.executeBeforeInsert
CaseOwnershipRelation.setBaseYearValues,OwnerShipBaseYearHandler.executeBeforeUpdate
CaseOwnershipRelation.setBaseYearValues,CaseOwnershipRelation.manageBVYAdditivePattern
CaseOwnershipRelation.setBaseYearValues,CaseOwnershipRelation.manageTempAdditivePattern
CaseOwnershipRelation.getFactorForOBYKey,CaseOwnershipRelation.populateGeneralValuesForCOR
CaseOwnershipRelation.getCumulativeFactor,CaseOwnershipRelation.populateGeneralValuesForCOR
CaseOwnershipRelation.getValueWithCumulativeFactor,CaseOwnershipRelation.setBaseYearValues
CaseOwnershipRelation.getValueWithoutCumulativeFactor,CaseOwnershipRelation.setTempValues
SiteLoginController.login,SiteLoginController.login
SiteLoginController.login,SiteRegisterController.registerUser
SiteLoginController.login,CommunitiesSelfRegController.registerUser
UUIDGenerator.getUUIDForCOR,CaseOwnershipRelation.populateGeneralValuesForCOR
AdditionalAsmtDetailsWithPriorEvent.populateOtherAssessmentDetails,AdditionalAsmtDetailsWithPriorEvent.populateOtherAssessmentDetails
